"","RC1","RC2","RC3","RC4","RC5","RC6"
"Inor",-0.517957394753363,-0.732528272079619,0.23271172908616,-0.164727919655665,0.128688300874049,-0.0838342384397979
"C2_D2",0.76126510861649,0.455254396789009,-0.113031783563482,0.199747926418049,0.219075739124992,-0.222743243665208
"C1_D1",0.784705577501047,0.472933835588595,-0.0831406807796445,0.278023776341449,0.0673206633961927,0.0694963289832923
"B4",0.425100799169776,0.841992643895952,0.196958103858044,0.210571443242715,-0.00529303391831726,0.0476598963901189
"G4",-0.863449796513854,0.2106728944009,-0.316704081178477,-0.207219126526915,-0.105306856891526,-0.0806263497515667
"H4",-0.733041392845036,-0.479309174572761,-0.222739391010963,-0.261166179005199,-0.041145022414899,-0.162703871521774
"B3",0.871074565886236,0.0101123615932083,-0.106820963263325,0.283513541998498,0.198467274010701,-0.0547533205512223
"H3",-0.892946953870237,-0.0912827293892677,-0.0204946991548399,-0.239829286479452,-0.227532439086118,0.107595557981724
"D3",0.0930218088988961,0.928119192657611,-0.0291216341364905,0.195438929434846,-0.104198028924555,0.182629830366106
"B2",0.0772231707551574,0.883852707504531,-0.0814600161357009,0.326599533592418,-0.0390812721827764,0.103466827923338
"D4",-0.0925461719756453,0.674871418963421,0.601724462406486,0.090605348248607,-0.0854452157711111,0.138135433810534
"A4",0.149705109426073,0.922475374610453,-0.0810459566035912,0.079819104883741,0.131718864014522,-0.234421170050709
"OM",0.862508116389209,0.136674068836128,-0.0701030228192942,-0.106542351552163,-0.0794005769299746,-0.0258772539943682
"CaCO3",-0.862508116389209,-0.136674068836128,0.0701030228192941,0.106542351552162,0.0794005769299745,0.025877253994368
"Gravel",0.192068645651902,-0.105309573772206,-0.0966356010915384,0.00648968978357287,0.829838624528816,0.223018121374126
"VC_Sand",0.298781275517868,0.468639528900292,0.0308671256511149,0.373487062744301,0.467786042443499,0.277960602573899
"C_Sand",0.0563904677901771,0.0284142884976518,-0.59788975222316,0.0491252785800522,-0.656998632389447,0.230292567092339
"M_Sand",0.0733670856542479,-0.0719132716740204,0.837043728350529,-0.11118098987271,-0.0147515889787211,-0.0770858626429053
"F_Sand",-0.132820806110818,-0.0443716214817464,0.79455439578737,0.0609602222637918,0.00104265314552365,0.302694320940774
"VF_Sand",-0.401752559215102,-0.244720672666122,-0.0806274071467895,-0.660980677311032,0.220868921926153,0.302645864579938
"Mud",-0.0430473968685852,-0.0029950378253126,-0.380172244439201,0.156845422429133,-0.15612492338131,-0.835676047185213
"Aer.AWCD",0.349775885399067,0.230498440921821,-0.0729088872746519,0.80340217237404,-0.0338781350073605,0.126085162705365
"Mox.AWCD",-0.205418819846397,0.441504931361994,-0.27914517385264,0.0650060241507491,0.0456241091339588,0.624351198304739
"Aer.H",0.225713570656335,0.175667770920295,0.431730998911324,0.652412771408396,0.33532896552757,-0.0678440674277333
"Mox.H",-0.0742285078923187,0.286496075348311,-0.165834641204651,0.692976606388485,0.0468422379238747,-0.0576207663952899
